dropped, rows
158, 47
168, 52
224, 77
258, 94
173, 53
273, 97
243, 86
174, 57
348, 130
280, 99
107, 29
158, 47
320, 115
300, 106
195, 63
95, 22
194, 61
132, 35
258, 89
188, 59
409, 152
227, 76
131, 38
267, 96
356, 133
162, 48
140, 45
175, 56
233, 80
248, 86
216, 72
145, 43
192, 64
117, 30
122, 32
245, 85
253, 87
170, 52
157, 48
192, 63
145, 43
253, 90
293, 105
356, 128
175, 55
270, 96
270, 93
159, 48
224, 74
154, 47
145, 42
203, 66
160, 49
293, 105
197, 63
101, 24
183, 59
202, 65
86, 21
139, 41
173, 54
235, 78
174, 55
160, 50
214, 72
407, 151
198, 64
195, 63
366, 132
196, 64
213, 71
169, 55
191, 63
312, 114
96, 22
283, 99
195, 65
204, 66
293, 107
222, 75
132, 37
167, 51
114, 33
123, 33
86, 23
145, 43
183, 60
241, 84
133, 36
82, 21
110, 28
172, 58
117, 35
204, 68
113, 31
127, 34
177, 58
197, 66
171, 55
165, 52
