dropped, rows
95, 21
67, 11
105, 25
61, 7
51, 3
100, 23
76, 13
91, 20
70, 11
67, 11
60, 8
78, 14
85, 18
64, 9
71, 12
69, 11
61, 7
52, 4
62, 8
50, 3
42, 0
78, 15
74, 13
75, 14
75, 13
71, 11
81, 17
78, 14
91, 19
78, 14
72, 12
81, 16
82, 16
75, 15
70, 11
51, 3
58, 6
88, 20
59, 7
131, 37
106, 26
76, 13
50, 3
63, 8
63, 8
70, 11
135, 37
68, 11
61, 7
69, 11
105, 25
68, 10
92, 21
84, 17
76, 14
53, 5
61, 8
103, 25
69, 10
71, 12
57, 6
61, 8
70, 11
72, 12
85, 18
79, 15
71, 12
101, 25
64, 8
81, 15
67, 11
43, 1
73, 13
88, 18
106, 25
86, 18
65, 9
82, 16
99, 24
128, 35
112, 28
71, 12
56, 6
60, 7
73, 13
51, 4
73, 12
68, 10
68, 11
64, 9
85, 19
80, 16
50, 3
64, 9
77, 14
56, 7
80, 15
96, 22
61, 8
109, 27
