avg_fit,avg_gene,top_fit,top_gene,elite_fit,elite_gene,top_rows
1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1,[1. 1. 1. 1. 1. 1. 1. 1. 1.],1
16.56666666666667,"[-0.01234482 -0.0540228  -0.00230896  0.3736924   0.06459952 -0.02472167
 -0.18477211  0.32206225 -0.03815835]",35.333333333333336,"[-0.16376679  0.24849196 -0.23668603 -0.18700974  0.65338249 -0.71903705
 -0.75139398 -0.31425403 -0.25948477]",35.333333333333336,"[-0.16376679  0.24849196 -0.23668603 -0.18700974  0.65338249 -0.71903705
 -0.75139398 -0.31425403 -0.25948477]",0
24.166666666666668,"[-0.46238923 -0.01471711  0.46841671 -0.16589875 -0.20956319 -0.0522688
 -0.45695342  0.44722196 -0.49211907]",41.0,"[-0.14374126  0.21087637 -0.19438047 -0.13595986  0.55368161 -0.81742477
 -0.38283072 -0.39098958 -0.21322428]",41.0,"[-0.14374126  0.21087637 -0.19438047 -0.13595986  0.55368161 -0.81742477
 -0.38283072 -0.39098958 -0.21322428]",0
41.96666666666667,"[-0.16583153  0.2423745  -0.19758663 -0.16088821  0.52127407 -0.76805881
 -0.34087788 -0.3915144  -0.25147519]",122.66666666666667,"[-0.17583948  0.32518887 -0.27819081 -0.28336557  0.48995341 -0.85941236
 -0.34941022 -0.316198   -0.24805418]",122.66666666666667,"[-0.17583948  0.32518887 -0.27819081 -0.28336557  0.48995341 -0.85941236
 -0.34941022 -0.316198   -0.24805418]",0
48.53333333333334,"[-0.13996796  0.23035997 -0.2216404  -0.16723495  0.49614126 -0.8433171
 -0.38839926 -0.38074399 -0.20959788]",128.33333333333334,"[-0.17583948  0.32518887 -0.27819081 -0.28336557  0.48995341 -0.85941236
 -0.34941022 -0.316198   -0.24805418]",128.33333333333334,"[-0.17583948  0.32518887 -0.27819081 -0.28336557  0.48995341 -0.85941236
 -0.34941022 -0.316198   -0.24805418]",0
60.33333333333333,"[-0.140487    0.2394328  -0.24637719 -0.19475691  0.51199179 -0.88872358
 -0.52472244 -0.35357271 -0.18688125]",142.33333333333334,"[-0.15716924  0.19127002 -0.24040054 -0.30123726  0.4708992  -0.94263428
 -0.73120027 -0.41982788 -0.27762089]",142.33333333333334,"[-0.15716924  0.19127002 -0.24040054 -0.30123726  0.4708992  -0.94263428
 -0.73120027 -0.41982788 -0.27762089]",0
73.46666666666667,"[-0.14573147  0.19397704 -0.21879767 -0.30262232  0.46469074 -0.76126677
 -0.643547   -0.4384038  -0.25166597]",204.0,"[-0.09174044  0.19084142 -0.23427464 -0.21752431  0.41337467 -0.57050528
 -0.56836215 -0.37696148 -0.13755713]",204.0,"[-0.09174044  0.19084142 -0.23427464 -0.21752431  0.41337467 -0.57050528
 -0.56836215 -0.37696148 -0.13755713]",0
164.40000000000003,"[-0.11940614  0.22074441 -0.2133096  -0.240825    0.38704103 -0.47517672
 -0.59286144 -0.38914422 -0.14325512]",456.6666666666667,"[-0.16100453  0.32934755 -0.24160425 -0.20854412  0.37071649 -0.43299947
 -0.543875   -0.57455447 -0.12738807]",456.6666666666667,"[-0.16100453  0.32934755 -0.24160425 -0.20854412  0.37071649 -0.43299947
 -0.543875   -0.57455447 -0.12738807]",0
214.0,"[-0.10751983  0.20871911 -0.24285469 -0.17942902  0.336826   -0.449257
 -0.69852664 -0.47518246 -0.1145782 ]",433.3333333333333,"[-0.16100453  0.32934755 -0.24160425 -0.20854412  0.37071649 -0.43299947
 -0.543875   -0.57455447 -0.12738807]",433.3333333333333,"[-0.16100453  0.32934755 -0.24160425 -0.20854412  0.37071649 -0.43299947
 -0.543875   -0.57455447 -0.12738807]",0
432.19999999999993,"[-0.14237597  0.29793459 -0.28634022 -0.18438409  0.33293217 -0.49384478
 -0.56832888 -0.51759296 -0.1393385 ]",1376.0,"[-0.16240016  0.37880136 -0.35563937 -0.20871698  0.26654995 -0.50968157
 -0.53751616 -0.6381581  -0.08820886]",1376.0,"[-0.16240016  0.37880136 -0.35563937 -0.20871698  0.26654995 -0.50968157
 -0.53751616 -0.6381581  -0.08820886]",0
965.3666666666666,"[-0.15203719  0.39687381 -0.389311   -0.21148391  0.3203624  -0.47297208
 -0.50955259 -0.56296612 -0.11279172]",3371.6666666666665,"[-0.1295922   0.40958006 -0.3666565  -0.18370083  0.28943231 -0.48634111
 -0.307318   -0.61738091 -0.15444757]",3371.6666666666665,"[-0.1295922   0.40958006 -0.3666565  -0.18370083  0.28943231 -0.48634111
 -0.307318   -0.61738091 -0.15444757]",0
2112.7666666666664,"[-0.16972292  0.36031713 -0.40345676 -0.19667767  0.2856621  -0.46608863
 -0.4920564  -0.6140408  -0.10249891]",8332.0,"[-0.1386141   0.17581353 -0.37993637 -0.1507361   0.28188892 -0.47177633
 -0.28963847 -0.65243131 -0.09642321]",8332.0,"[-0.1386141   0.17581353 -0.37993637 -0.1507361   0.28188892 -0.47177633
 -0.28963847 -0.65243131 -0.09642321]",0
2486.466666666667,"[-0.144132    0.2529228  -0.38064876 -0.17480698  0.31577724 -0.48938498
 -0.32560898 -0.6728375  -0.12441714]",6505.666666666667,"[-0.16305617  0.35718779 -0.34831612 -0.20098375  0.27882126 -0.50726681
 -0.3319267  -0.608309   -0.09952078]",6505.666666666667,"[-0.16305617  0.35718779 -0.34831612 -0.20098375  0.27882126 -0.50726681
 -0.3319267  -0.608309   -0.09952078]",0
1681.6,"[-0.16360098  0.31056972 -0.32115135 -0.20132559  0.36947034 -0.47921658
 -0.27995662 -0.49992921 -0.11188073]",4259.666666666667,"[-0.17082214  0.41189932 -0.36064682 -0.18932738  0.4092697  -0.54030189
 -0.27415391 -0.56259776 -0.1015236 ]",4259.666666666667,"[-0.17082214  0.41189932 -0.36064682 -0.18932738  0.4092697  -0.54030189
 -0.27415391 -0.56259776 -0.1015236 ]",0
2542.7333333333336,"[-0.20361559  0.34516078 -0.29713684 -0.2662737   0.28916006 -0.42271605
 -0.36165456 -0.60790801 -0.09738408]",9056.666666666666,"[-0.17082214  0.41189932 -0.36064682 -0.18932738  0.4092697  -0.54030189
 -0.27415391 -0.56259776 -0.1015236 ]",9056.666666666666,"[-0.17082214  0.41189932 -0.36064682 -0.18932738  0.4092697  -0.54030189
 -0.27415391 -0.56259776 -0.1015236 ]",0
3759.6,"[-0.17324092  0.40769147 -0.27744738 -0.22122203  0.2850621  -0.44442475
 -0.24815944 -0.54226368 -0.10965514]",8318.666666666666,"[-0.15556239  0.42324905 -0.3576379  -0.34568388  0.45888191 -0.39123895
 -0.24690935 -0.42624923 -0.12666375]",8318.666666666666,"[-0.15556239  0.42324905 -0.3576379  -0.34568388  0.45888191 -0.39123895
 -0.24690935 -0.42624923 -0.12666375]",0
3313.6,"[-0.16916209  0.39058703 -0.27826136 -0.27716714  0.23137028 -0.37969619
 -0.24411305 -0.41902329 -0.10233593]",8705.0,"[-0.15219353  0.40079682 -0.20017764 -0.17995115  0.08379038 -0.46759405
 -0.15800694 -0.41988026 -0.08297035]",8705.0,"[-0.15219353  0.40079682 -0.20017764 -0.17995115  0.08379038 -0.46759405
 -0.15800694 -0.41988026 -0.08297035]",0
3068.366666666666,"[-0.17081909  0.3469891  -0.31272851 -0.33596736  0.27508144 -0.46246195
 -0.17065535 -0.41582535 -0.13122404]",5664.333333333333,"[-0.19736995  0.35760927 -0.38476514 -0.35366619  0.34960553 -0.3522289
 -0.23367774 -0.42256681 -0.14528372]",5664.333333333333,"[-0.19736995  0.35760927 -0.38476514 -0.35366619  0.34960553 -0.3522289
 -0.23367774 -0.42256681 -0.14528372]",0
2129.1,"[-0.19676713  0.35366717 -0.26242676 -0.27730247  0.22587419 -0.42611822
 -0.19699244 -0.33019005 -0.10871605]",5915.666666666667,"[-0.15865039  0.28584213 -0.33979105 -0.43454928  0.34882105 -0.43913787
 -0.22878339 -0.5487304  -0.17906729]",5915.666666666667,"[-0.15865039  0.28584213 -0.33979105 -0.43454928  0.34882105 -0.43913787
 -0.22878339 -0.5487304  -0.17906729]",0
3069.0333333333333,"[-0.17961752  0.29480923 -0.2985529  -0.29629395  0.16945602 -0.35276976
 -0.16956454 -0.41452279 -0.13326991]",4996.333333333333,"[-0.15865039  0.28584213 -0.33979105 -0.43454928  0.34882105 -0.43913787
 -0.22878339 -0.5487304  -0.17906729]",4996.333333333333,"[-0.15865039  0.28584213 -0.33979105 -0.43454928  0.34882105 -0.43913787
 -0.22878339 -0.5487304  -0.17906729]",0
2716.4333333333334,"[-0.15634733  0.25859458 -0.37645651 -0.50482072  0.31471636 -0.44614549
 -0.23528001 -0.59826262 -0.16937292]",7963.333333333333,"[-0.11200689  0.2840348  -0.44267293 -0.5323148   0.30939113 -0.35936881
 -0.24226898 -0.58293985 -0.11000647]",7963.333333333333,"[-0.11200689  0.2840348  -0.44267293 -0.5323148   0.30939113 -0.35936881
 -0.24226898 -0.58293985 -0.11000647]",0
2737.2000000000003,"[-0.11275149  0.22831032 -0.3988122  -0.63349061  0.31343767 -0.36001057
 -0.26084721 -0.71788567 -0.1516891 ]",5164.666666666667,"[-0.11466907  0.14541766 -0.36373951 -0.60516506  0.28747456 -0.39123906
 -0.29338599 -0.72934114 -0.17516238]",5164.666666666667,"[-0.11466907  0.14541766 -0.36373951 -0.60516506  0.28747456 -0.39123906
 -0.29338599 -0.72934114 -0.17516238]",0
2571.6333333333337,"[-0.10652923  0.21070717 -0.41281317 -0.51167069  0.29465094 -0.42152199
 -0.2847174  -0.61518572 -0.12618254]",4250.666666666667,"[-0.09764924  0.23654804 -0.42588782 -0.52552548  0.38688745 -0.3540296
 -0.23096592 -0.55453427 -0.1033865 ]",4250.666666666667,"[-0.09764924  0.23654804 -0.42588782 -0.52552548  0.38688745 -0.3540296
 -0.23096592 -0.55453427 -0.1033865 ]",0
1808.1666666666667,"[-0.09755139  0.24611745 -0.50099696 -0.52424244  0.40485974 -0.36103699
 -0.25310753 -0.60653387 -0.11922605]",3992.3333333333335,"[-0.12127275  0.3226112  -0.36213081 -0.51241898  0.35846591 -0.23856286
 -0.23505457 -0.48243989 -0.11816139]",3992.3333333333335,"[-0.12127275  0.3226112  -0.36213081 -0.51241898  0.35846591 -0.23856286
 -0.23505457 -0.48243989 -0.11816139]",0
3467.2333333333327,"[-0.10204592  0.19980048 -0.39703163 -0.59613872  0.38978982 -0.40342638
 -0.21265916 -0.5585222  -0.1026777 ]",11647.333333333334,"[-0.12625968  0.2847646  -0.30391623 -0.59387259  0.46748362 -0.25809223
 -0.20526856 -0.58484575 -0.10604821]",11647.333333333334,"[-0.12625968  0.2847646  -0.30391623 -0.59387259  0.46748362 -0.25809223
 -0.20526856 -0.58484575 -0.10604821]",0
